sample,measured_angle,simple_narx_simulation,advanced_gru_simulation,advanced_lstm_simulation
179,0.053407075111026485,0.11384813487529755,0.0544266402721405,0.056491367518901825
180,-0.16650441064025903,-0.07404153048992157,-0.17121349275112152,-0.16816896200180054
181,-0.3424335992412874,-0.23000776767730713,-0.35456404089927673,-0.35169947147369385
182,-0.4618141200776996,-0.34407517313957214,-0.481169193983078,-0.47909030318260193
183,-0.5215043804959058,-0.4109383225440979,-0.5435830354690552,-0.5428673028945923
184,-0.5215043804959058,-0.42986860871315,-0.5422616004943848,-0.543074369430542
185,-0.4649557127312894,-0.4039968252182007,-0.4837670624256134,-0.48553064465522766
186,-0.3581415625092364,-0.33945488929748535,-0.3771979510784149,-0.3792070746421814
187,-0.21991148575128552,-0.24452698230743408,-0.23382529616355896,-0.23553523421287537
188,-0.05969026041820607,-0.128752201795578,-0.06786129623651505,-0.06917504966259003
189,0.10995574287564276,-0.002167295664548874,0.10459920018911362,0.1031605452299118
190,0.26389378290154264,0.12513691186904907,0.2677706182003021,0.26589080691337585
191,0.39584067435231396,0.24337172508239746,0.40661337971687317,0.40554991364479065
192,0.4932300466135975,0.34358301758766174,0.5071532726287842,0.5084038972854614
193,0.5434955290710342,0.4182113707065582,0.5628683567047119,0.5647468566894531
194,0.546637121724624,0.46138209104537964,0.5677099227905273,0.5718033313751221
195,0.5057964172279567,0.46890702843666077,0.5227313041687012,0.5297238230705261
196,0.4178318229274425,0.43823710083961487,0.43180519342422485,0.440307080745697
197,0.289026524130261,0.368610143661499,0.29792389273643494,0.307813823223114
198,0.1288052987971815,0.261468768119812,0.12838327884674072,0.1397138237953186
199,-0.05969026041820607,0.12108371406793594,-0.0650632232427597,-0.05298619717359543
200,-0.25446900494077324,-0.044814497232437134,-0.26806390285491943,-0.256193608045578
201,-0.4429645641561608,-0.22476476430892944,-0.4652571678161621,-0.45389100909233093
202,-0.6126105674500096,-0.40414097905158997,-0.6416763067245483,-0.6304646730422974
203,-0.7476990515543708,-0.5668373107910156,-0.7839301824569702,-0.7733703851699829
204,-0.8419468311620646,-0.6977511644363403,-0.8808822631835938,-0.8720351457595825
205,-0.8827875356587318,-0.7850519418716431,-0.9242590665817261,-0.9171464443206787
206,-0.8670795723907829,-0.8212412595748901,-0.9092394113540649,-0.9041438102722168
207,-0.7948229413582177,-0.8029299974441528,-0.834909200668335,-0.8314417600631714
208,-0.669159235214626,-0.7301536798477173,-0.7023366689682007,-0.7005150318145752
209,-0.4932300466135975,-0.6060329675674438,-0.516032338142395,-0.5162094831466675
210,-0.273318560862312,-0.43697085976600647,-0.28679293394088745,-0.28928259015083313
211,-0.031415926535897934,-0.23312729597091675,-0.03167589753866196,-0.03635256737470627
212,0.21676989309769573,-0.008708346635103226,0.22840261459350586,0.22130583226680756
213,0.4429645641561608,0.21857605874538422,0.47105956077575684,0.46067294478416443
214,0.6408849013323178,0.4294399321079254,0.6746960878372192,0.6637063026428223
215,0.7853981633974483,0.6061193943023682,0.8237628936767578,0.8143570423126221
216,0.8639379797371931,0.7353616952896118,0.9095166921615601,0.9002362489700317
217,0.8796459430051421,0.809851884841919,0.9264819622039795,0.9202880859375
218,0.8325220532012952,0.8278261423110962,0.8782639503479004,0.8765199184417725
219,0.7257079029792423,0.7919057607650757,0.7714676856994629,0.7738560438156128
220,0.578053048260522,0.7082209587097168,0.6151801347732544,0.6215735673904419
221,0.39584067435231396,0.5859357118606567,0.4237454831600189,0.43334418535232544
222,0.19792033717615698,0.43664446473121643,0.215204656124115,0.22652330994606018
223,0.0031415926535897933,0.27333176136016846,0.009018706157803535,0.020249642431735992
224,-0.16964600329384882,0.10910771042108536,-0.1761867105960846,-0.16674219071865082
225,-0.3047344873982099,-0.04394928365945816,-0.3245660066604614,-0.31819501519203186
226,-0.39584067435231396,-0.17572784423828125,-0.4248327612876892,-0.4228987693786621
227,-0.4366813788489812,-0.27878710627555847,-0.4719236195087433,-0.4745694696903229
228,-0.4272566008882119,-0.34871572256088257,-0.46739187836647034,-0.4741022288799286
229,-0.37699111843077515,-0.3840464651584625,-0.41754165291786194,-0.42761701345443726
230,-0.29216811678385074,-0.38580405712127686,-0.33077719807624817,-0.3427841067314148
231,-0.18535396656179778,-0.35685601830482483,-0.21667411923408508,-0.22882530093193054
232,-0.06597344572538566,-0.30120426416397095,-0.08596359193325043,-0.09687884151935577
233,0.06283185307179587,-0.22335964441299438,0.05020489916205406,0.041145551949739456
234,0.1790707812546182,-0.12796349823474884,0.18145523965358734,0.17453953623771667
235,0.28588493147667116,-0.019714374095201492,0.29837581515312195,0.2942317724227905
236,0.37070793312359557,0.0965321883559227,0.39330360293388367,0.3925398290157318
237,0.43353978619539146,0.21566717326641083,0.463199645280838,0.464470773935318
238,0.47123889803846897,0.3322863280773163,0.5062905550003052,0.5084570646286011
239,0.48066367599923837,0.4406925439834595,0.5231490731239319,0.5263791084289551
240,0.47438049069205873,0.5349966287612915,0.5169342160224915,0.5216656923294067
241,0.4523893421169302,0.6093746423721313,0.4913025498390198,0.4972486197948456
242,0.4178318229274425,0.6584320068359375,0.44903337955474854,0.45518597960472107
243,0.3675663404700058,0.677548885345459,0.3917156755924225,0.397051066160202
244,0.3078760800517997,0.6631327867507935,0.32046228647232056,0.32414671778678894
245,0.2324778563656447,0.6127980947494507,0.2366250455379486,0.23776184022426605
246,0.14765485471872028,0.5255413055419922,0.1420496702194214,0.1396494060754776
247,0.053407075111026485,0.4020092189311981,0.03917493671178818,0.03237074613571167
248,-0.047123889803846894,0.24496182799339294,-0.06888117641210556,-0.08065192401409149
249,-0.14765485471872028,0.05998055636882782,-0.17835530638694763,-0.1951943188905716
250,-0.25132741228718347,-0.1437610238790512,-0.28497475385665894,-0.30642253160476685
251,-0.34871678454846705,-0.3532155156135559,-0.3841648995876312,-0.40929755568504333
252,-0.43982297150257105,-0.5524355173110962,-0.47134634852409363,-0.4989562928676605
253,-0.515221195188726,-0.7250980138778687,-0.5422934293746948,-0.5707147121429443
254,-0.5717698629533423,-0.8576450347900391,-0.5934841632843018,-0.6200194358825684
255,-0.6063273821428301,-0.9412906169891357,-0.6223545074462891,-0.6439100503921509
256,-0.6157521601035995,-0.9720096588134766,-0.6273393630981445,-0.6425920724868774
257,-0.6000441968356505,-0.9493422508239746,-0.6076279878616333,-0.6167521476745605
258,-0.5592034923389833,-0.8753587007522583,-0.5628054141998291,-0.5653985738754272
259,-0.4932300466135975,-0.7542130947113037,-0.4927389323711395,-0.4877133071422577
260,-0.40212385965949354,-0.5918943881988525,-0.39788344502449036,-0.3847063183784485
261,-0.28588493147667116,-0.39602574706077576,-0.2798791229724884,-0.259247750043869
262,-0.14765485471872028,-0.17594312131404877,-0.1421453356742859,-0.1158541738986969
263,0.0,0.05700768530368805,0.009802933782339096,0.039134033024311066
264,0.15707963267948966,0.28940972685813904,0.16847078502178192,0.1976814568042755
265,0.31101767270538955,0.5064427256584167,0.3249123692512512,0.3509116768836975
266,0.4523893421169302,0.6935137510299683,0.46948006749153137,0.4903201758861542
267,0.578053048260522,0.8384644985198975,0.5926617383956909,0.6074470281600952
268,0.6723008278682158,0.9332786798477173,0.686083197593689,0.6931136846542358
269,0.7351326809400116,0.9743790626525879,0.7434028387069702,0.7416588068008423
270,0.7571238295151402,0.9617682695388794,0.7605034112930298,0.7520036697387695
271,0.7382742735936014,0.8980468511581421,0.7369712591171265,0.7235525846481323
272,0.6785840131753953,0.7879407405853271,0.6751830577850342,0.6568933725357056
273,0.5843362335677015,0.6382124423980713,0.5770974159240723,0.5552080869674683
274,0.4618141200776996,0.457687109708786,0.44711461663246155,0.42417919635772705
275,0.3047344873982099,0.257296621799469,0.29399484395980835,0.2720240652561188
276,0.13823007675795088,0.04997237026691437,0.12955451011657715,0.10965319722890854
277,-0.02199114857512855,-0.15000443160533905,-0.03301282972097397,-0.04991420358419418
278,-0.17278759594743864,-0.32846057415008545,-0.18051235377788544,-0.19352231919765472
279,-0.29216811678385074,-0.4732826054096222,-0.30124446749687195,-0.3103826642036438
280,-0.37699111843077515,-0.5760700702667236,-0.3866455852985382,-0.3925977051258087
281,-0.42411500823462206,-0.6328599452972412,-0.43267253041267395,-0.43487945199012756
282,-0.43353978619539146,-0.6439265012741089,-0.44037681818008423,-0.4383254647254944
283,-0.41154863762026295,-0.613135576248169,-0.41510432958602905,-0.4096992313861847
284,-0.36442474781641604,-0.547248363494873,-0.3647749125957489,-0.3569199740886688
285,-0.30159289474462014,-0.45519742369651794,-0.2985621988773346,-0.2885618209838867
286,-0.2324778563656447,-0.3471674919128418,-0.22610259056091309,-0.21425113081932068
287,-0.16650441064025903,-0.23344403505325317,-0.15654437243938446,-0.14363771677017212
288,-0.10681415022205297,-0.12317755818367004,-0.09736000001430511,-0.08452188968658447
289,-0.05969026041820607,-0.023296888917684555,-0.053188785910606384,-0.04141494631767273
290,-0.031415926535897934,0.06219734996557236,-0.02470128983259201,-0.014887969940900803
291,-0.015707963267948967,0.13240960240364075,-0.008452329784631729,-0.0014461763203144073
292,-0.006283185307179587,0.18922337889671326,0.0017201155424118042,0.005343504250049591
293,0.0031415926535897933,0.2366112619638443,0.013212906196713448,0.013126712292432785
294,0.01884955592153876,0.27967125177383423,0.03317108750343323,0.029214102774858475
295,0.05026548245743669,0.32343488931655884,0.06749513000249863,0.059682466089725494
296,0.10053096491487339,0.3715556561946869,0.11987380683422089,0.10877491533756256
297,0.16964600329384882,0.42509952187538147,0.19062800705432892,0.17764662206172943
298,0.25446900494077324,0.48174384236335754,0.2758283019065857,0.26293033361434937
299,0.34871678454846705,0.5357060432434082,0.367136687040329,0.35646507143974304
300,0.43353978619539146,0.5785744190216064,0.4526805877685547,0.44629085063934326
301,0.5057964172279567,0.6008652448654175,0.5192612409591675,0.517458438873291
302,0.5434955290710342,0.5937458276748657,0.554702877998352,0.5561386346817017
303,0.5403539364174444,0.5503963232040405,0.5492675304412842,0.5541993379592896
304,0.4932300466135975,0.46691277623176575,0.4992651045322418,0.5066556930541992
305,0.3989822670059037,0.343037873506546,0.40324848890304565,0.4122137725353241
306,0.26389378290154264,0.1830364465713501,0.2632295787334442,0.2745360732078552
307,0.09424777960769379,-0.003268446773290634,0.08981606364250183,0.10323476046323776
308,-0.09110618695410401,-0.1999487727880478,-0.09963779151439667,-0.08541610836982727
309,-0.2670353755551324,-0.386258065700531,-0.2837161123752594,-0.27021878957748413
310,-0.4272566008882119,-0.5405312776565552,-0.4401293396949768,-0.42955151200294495
311,-0.5403539364174444,-0.6450909376144409,-0.5497455596923828,-0.5446039438247681
312,-0.5906194188748811,-0.6890641450881958,-0.5988245010375977,-0.5995954275131226
313,-0.5811946409141117,-0.6681761741638184,-0.581470251083374,-0.5877912044525146
314,-0.5057964172279567,-0.5835460424423218,-0.5003818273544312,-0.5112366676330566
315,-0.3738495257771854,-0.44154441356658936,-0.3626663088798523,-0.37726232409477234
316,-0.19477874452256716,-0.2548408508300781,-0.18190038204193115,-0.19928257167339325
317,-0.0031415926535897933,-0.043247662484645844,0.019933369010686874,0.000609811395406723
318,0.1916371518689774,0.16745790839195251,0.21502132713794708,0.1954810619354248
319,0.35499996985564664,0.3497782051563263,0.37571749091148376,0.3603486120700836
320,0.4618141200776996,0.48036620020866394,0.4805481731891632,0.4684431850910187
321,0.4995132319207771,0.543991208076477,0.5113380551338196,0.5034468173980713
322,0.4586725274241098,0.5338383913040161,0.4650298058986664,0.46408000588417053
323,0.34871678454846705,0.45014655590057373,0.3457740247249603,0.3526540994644165
324,0.1790707812546182,0.30016133189201355,0.16396230459213257,0.17865251004695892
325,-0.031415926535897934,0.09978905320167542,-0.05929151922464371,-0.03846170753240585
326,-0.26389378290154264,-0.12581798434257507,-0.2969573736190796,-0.2710455656051636
327,-0.47438049069205873,-0.3457449674606323,-0.5182044506072998,-0.48927345871925354
328,-0.6471680866394973,-0.5302692651748657,-0.6943924427032471,-0.665276288986206
329,-0.7571238295151402,-0.6571176052093506,-0.8035880327224731,-0.7758263349533081
330,-0.7853981633974483,-0.7134182453155518,-0.8300166130065918,-0.8066715002059937
331,-0.7351326809400116,-0.6939541101455688,-0.7703574895858765,-0.7522885799407959
332,-0.6000441968356505,-0.5990668535232544,-0.6262154579162598,-0.6161277294158936
333,-0.39269908169872414,-0.4345192313194275,-0.4053008258342743,-0.4061388075351715
334,-0.1350884841043611,-0.21341541409492493,-0.12636138498783112,-0.13891854882240295
335,0.15707963267948966,0.042051710188388824,0.1813342422246933,0.15841948986053467
336,0.4429645641561608,0.3026321828365326,0.4841703772544861,0.4513118267059326
337,0.6942919764433443,0.5383481979370117,0.7516456842422485,0.7107738256454468
338,0.8953539062730911,0.7251670360565186,0.9603348970413208,0.9161310195922852
