model,prediction_rmse_rad,prediction_rmse_deg,simulation_rmse_rad,simulation_rmse_deg
simple NARX ANN,0.04261698792067316,2.441773543414582,0.2815168742524993,16.129728756383322
advanced GRU ANN,0.0035337279333721564,0.2024676965297111,0.03544060401736355,2.0305970335893213
advanced LSTM ANN,0.004096451605647059,0.23470938798316593,0.033039287703582255,1.8930117435337408
