history,hidden_size,epochs,prediction_rmse_rad,prediction_rmse_deg,simulation_rmse_rad,simulation_rmse_deg
10,20,80,0.007997396137560921,0.45821704577646677,0.0424555754055999,2.432525287540293
15,20,80,0.006885032688787977,0.39448331487716026,0.0388613734126601,2.2265926826273326
15,40,120,0.004658508980192153,0.2669129033888036,0.041611015434826315,2.384135565669274
15,60,120,0.003798527900514512,0.21763961706217097,0.030914330451032677,1.7712606613169353
