sample,measured_angle,simple_narx_simulation,advanced_lstm_simulation
58,-0.012566370614359173,-0.004215475171804428,-0.009755942970514297
59,-0.15707963267948966,-0.1510952264070511,-0.1601756513118744
60,-0.3047344873982099,-0.30039605498313904,-0.31104040145874023
61,-0.44924774946334045,-0.44914522767066956,-0.45930469036102295
62,-0.5874778262212914,-0.591280460357666,-0.6007354259490967
63,-0.7194247176720626,-0.719346284866333,-0.7305202484130859
64,-0.8325220532012952,-0.823644757270813,-0.8443514108657837
65,-0.9236282401553992,-0.8951418399810791,-0.9360685348510742
66,-0.9833185005736053,-0.9251312017440796,-0.9934893846511841
67,-1.002168056495144,-0.9080860614776611,-1.009447455406189
68,-0.9738937226128359,-0.8407300710678101,-0.9778995513916016
69,-0.8922123136195013,-0.7222509384155273,-0.8911185264587402
70,-0.7508406442079605,-0.5547939538955688,-0.7446153163909912
71,-0.546637121724624,-0.343477338552475,-0.5391777753829956
72,-0.29530970943744056,-0.09813104569911957,-0.28250330686569214
73,-0.00942477796076938,0.16608236730098724,0.00966184213757515
74,0.29530970943744056,0.42751947045326233,0.31478002667427063
75,0.5874778262212914,0.6607723236083984,0.6070578098297119
76,0.835663645854885,0.8426392078399658,0.8590309619903564
77,1.0241592050702726,0.9574904441833496,1.0506833791732788
78,1.1435397259066846,0.9985150098800659,1.167947769165039
79,1.1812388377497622,0.9648023843765259,1.2032490968704224
80,1.1341149479459152,0.8593778610229492,1.154651165008545
81,1.0084512418023235,0.6888014078140259,1.023353934288025
82,0.8011061266653973,0.46413713693618774,0.8159270286560059
83,0.5372123437638546,0.2016679048538208,0.5453773736953735
84,0.2293362637120549,-0.0768975168466568,0.23280803859233856
85,-0.08482300164692441,-0.3459542989730835,-0.09421533346176147
86,-0.3895574890451343,-0.5804464817047119,-0.4068424105644226
87,-0.6597344572538566,-0.7609961032867432,-0.6779028177261353
88,-0.8702211650443727,-0.8768520355224609,-0.8911048173904419
89,-1.0147344271095031,-0.9250079393386841,-1.0359350442886353
90,-1.0838494654884787,-0.9077115058898926,-1.1078382730484009
91,-1.0869910581420683,-0.8307496309280396,-1.1093096733093262
92,-1.0210176124166828,-0.7028719186782837,-1.0429335832595825
93,-0.8953539062730911,-0.535285234451294,-0.914177417755127
94,-0.7162831250184728,-0.3404519557952881,-0.7309399843215942
95,-0.4900884539600077,-0.13106516003608704,-0.5034050941467285
96,-0.23561944901923448,0.08043421059846878,-0.24419432878494263
97,0.02827433388230814,0.28215542435646057,0.03035760298371315
98,0.289026524130261,0.46349820494651794,0.3010879158973694
99,0.5340707511102648,0.6160684823989868,0.5502580404281616
100,0.7414158662471911,0.7341828346252441,0.7633930444717407
